Gene ID,Species Name,Phylum,Clade,Family ID,,,
ANCCEY_04554,ancylostoma_ceylanicum,Nematoda,Clade V,family 120330,,,
ANCCEY_04555,ancylostoma_ceylanicum,Nematoda,Clade V,family 120330,,,
ANCCEY_00274,ancylostoma_ceylanicum,Nematoda,Clade V,family 120330,,,
ANCCEY_05584,ancylostoma_ceylanicum,Nematoda,Clade V,family 145447,,,
ANCCEY_05585,ancylostoma_ceylanicum,Nematoda,Clade V,family 145447,,,
ANCCEY_07413,ancylostoma_ceylanicum,Nematoda,Clade V,family 145447,,,
ANCCEY_06537,ancylostoma_ceylanicum,Nematoda,Clade V,family 161836,,,
ANCCEY_05093,ancylostoma_ceylanicum,Nematoda,Clade V,family 161836,,,
ANCCEY_07649,ancylostoma_ceylanicum,Nematoda,Clade V,family 161836,,,
ANCCEY_15911,ancylostoma_ceylanicum,Nematoda,Clade V,family 164880,,,
ANCCEY_05437,ancylostoma_ceylanicum,Nematoda,Clade V,family 164880,,,
ANCCEY_10445,ancylostoma_ceylanicum,Nematoda,Clade V,family 164880,,,
ANCCEY_08895,ancylostoma_ceylanicum,Nematoda,Clade V,family 188084,,,
ANCCEY_08894,ancylostoma_ceylanicum,Nematoda,Clade V,family 188084,,,
ANCCEY_01679,ancylostoma_ceylanicum,Nematoda,Clade V,family 225351,,,
ANCCEY_04230,ancylostoma_ceylanicum,Nematoda,Clade V,family 225351,,,
ANCCEY_01678,ancylostoma_ceylanicum,Nematoda,Clade V,family 225351,,,
ANCCEY_02502,ancylostoma_ceylanicum,Nematoda,Clade V,family 225351,,,
ANCCEY_09094,ancylostoma_ceylanicum,Nematoda,Clade V,family 231200,,,
ANCCEY_06305,ancylostoma_ceylanicum,Nematoda,Clade V,family 231200,,,
ANCCEY_01576,ancylostoma_ceylanicum,Nematoda,Clade V,family 241954,,,
ANCCEY_01577,ancylostoma_ceylanicum,Nematoda,Clade V,family 241954,,,
ANCCEY_11756,ancylostoma_ceylanicum,Nematoda,Clade V,family 273614,,,
ANCCEY_01203,ancylostoma_ceylanicum,Nematoda,Clade V,family 273614,,,
ANCCEY_03809,ancylostoma_ceylanicum,Nematoda,Clade V,family 288152,,,
ANCCEY_01511,ancylostoma_ceylanicum,Nematoda,Clade V,family 289580,,,
ANCCEY_01510,ancylostoma_ceylanicum,Nematoda,Clade V,family 289580,,,
ANCCEY_01509,ancylostoma_ceylanicum,Nematoda,Clade V,family 289580,,,
ANCCEY_05733,ancylostoma_ceylanicum,Nematoda,Clade V,family 292198,,,
ANCCEY_04553,ancylostoma_ceylanicum,Nematoda,Clade V,family 293263,,,
ANCCEY_05479,ancylostoma_ceylanicum,Nematoda,Clade V,family 355288,,,
ANCCEY_03168,ancylostoma_ceylanicum,Nematoda,Clade V,family 376434,,,
ANCCEY_03167,ancylostoma_ceylanicum,Nematoda,Clade V,family 376434,,,
ANCCEY_11477,ancylostoma_ceylanicum,Nematoda,Clade V,family 383681,,,
ANCCEY_09214,ancylostoma_ceylanicum,Nematoda,Clade V,family 392522,,,
ANCCEY_09743,ancylostoma_ceylanicum,Nematoda,Clade V,family 392522,,,
ANCCEY_09213,ancylostoma_ceylanicum,Nematoda,Clade V,family 392522,,,
ANCCEY_09742,ancylostoma_ceylanicum,Nematoda,Clade V,family 392522,,,
ANCCEY_09745,ancylostoma_ceylanicum,Nematoda,Clade V,family 392522,,,
ANCCEY_10919,ancylostoma_ceylanicum,Nematoda,Clade V,family 396252,,,
ANCCEY_02575,ancylostoma_ceylanicum,Nematoda,Clade V,family 396252,,,
ANCCEY_12317,ancylostoma_ceylanicum,Nematoda,Clade V,family 405305,,,
ANCCEY_07499,ancylostoma_ceylanicum,Nematoda,Clade V,family 405305,,,
ANCCEY_07498,ancylostoma_ceylanicum,Nematoda,Clade V,family 405305,,,
ANCCEY_07978,ancylostoma_ceylanicum,Nematoda,Clade V,family 418381,,,
ANCCEY_11223,ancylostoma_ceylanicum,Nematoda,Clade V,family 455391,,,
ANCCEY_11224,ancylostoma_ceylanicum,Nematoda,Clade V,family 455391,,,
ANCCEY_09358,ancylostoma_ceylanicum,Nematoda,Clade V,family 462031,,,
ANCCEY_06855,ancylostoma_ceylanicum,Nematoda,Clade V,family 464055,,,
ANCCEY_10561,ancylostoma_ceylanicum,Nematoda,Clade V,family 532575,,,
ANCCEY_10559,ancylostoma_ceylanicum,Nematoda,Clade V,family 532575,,,
ANCCEY_10560,ancylostoma_ceylanicum,Nematoda,Clade V,family 532575,,,
ANCCEY_06378,ancylostoma_ceylanicum,Nematoda,Clade V,family 556181,,,
ANCCEY_04773,ancylostoma_ceylanicum,Nematoda,Clade V,family 556181,,,
ANCCEY_04242,ancylostoma_ceylanicum,Nematoda,Clade V,family 561948,,,
ANCCEY_00954,ancylostoma_ceylanicum,Nematoda,Clade V,family 579225,,,
ANCCEY_08817,ancylostoma_ceylanicum,Nematoda,Clade V,family 588256,,,
ANCCEY_11047,ancylostoma_ceylanicum,Nematoda,Clade V,family 605002,,,
ANCCEY_07412,ancylostoma_ceylanicum,Nematoda,Clade V,family 605002,,,
ANCCEY_11085,ancylostoma_ceylanicum,Nematoda,Clade V,family 610744,,,
ANCCEY_00720,ancylostoma_ceylanicum,Nematoda,Clade V,family 614195,,,
ANCCEY_02143,ancylostoma_ceylanicum,Nematoda,Clade V,family 615560,,,
ANCCEY_10583,ancylostoma_ceylanicum,Nematoda,Clade V,family 615560,,,
ANCCEY_05603,ancylostoma_ceylanicum,Nematoda,Clade V,family 621853,,,
ANCCEY_02316,ancylostoma_ceylanicum,Nematoda,Clade V,family 628824,,,
ANCCEY_02317,ancylostoma_ceylanicum,Nematoda,Clade V,family 628824,,,
ANCCEY_08497,ancylostoma_ceylanicum,Nematoda,Clade V,family 657959,,,
ANCCEY_05321,ancylostoma_ceylanicum,Nematoda,Clade V,family 660496,,,
ANCCEY_06226,ancylostoma_ceylanicum,Nematoda,Clade V,family 664383,,,
ANCCEY_09746,ancylostoma_ceylanicum,Nematoda,Clade V,family 669683,,,
ANCCEY_00399,ancylostoma_ceylanicum,Nematoda,Clade V,family 673559,,,
ANCCEY_00398,ancylostoma_ceylanicum,Nematoda,Clade V,family 673559,,,
ANCCEY_13812,ancylostoma_ceylanicum,Nematoda,Clade V,family 676051,,,
ANCCEY_15795,ancylostoma_ceylanicum,Nematoda,Clade V,family 676051,,,
ANCCEY_13450,ancylostoma_ceylanicum,Nematoda,Clade V,family 706112,,,
ANCCEY_07539,ancylostoma_ceylanicum,Nematoda,Clade V,family 723188,,,
ANCCEY_03515,ancylostoma_ceylanicum,Nematoda,Clade V,family 729327,,,
ANCCEY_00702,ancylostoma_ceylanicum,Nematoda,Clade V,family 741201,,,
ANCCEY_00701,ancylostoma_ceylanicum,Nematoda,Clade V,family 741201,,,
ANCCEY_01395,ancylostoma_ceylanicum,Nematoda,Clade V,family 747215,,,
ANCCEY_14869,ancylostoma_ceylanicum,Nematoda,Clade V,family 747215,,,
ANCCEY_01603,ancylostoma_ceylanicum,Nematoda,Clade V,family 768538,,,
ANCCEY_09489,ancylostoma_ceylanicum,Nematoda,Clade V,family 768538,,,
ANCCEY_11349,ancylostoma_ceylanicum,Nematoda,Clade V,family 768538,,,
ANCCEY_00613,ancylostoma_ceylanicum,Nematoda,Clade V,family 785693,,,
ANCCEY_05962,ancylostoma_ceylanicum,Nematoda,Clade V,family 795694,,,
ANCCEY_02680,ancylostoma_ceylanicum,Nematoda,Clade V,family 807935,,,
ANCCEY_04139,ancylostoma_ceylanicum,Nematoda,Clade V,family 812627,,,
ANCCEY_15779,ancylostoma_ceylanicum,Nematoda,Clade V,family 812893,,,
ANCCEY_15532,ancylostoma_ceylanicum,Nematoda,Clade V,family 812893,,,
ANCCEY_04605,ancylostoma_ceylanicum,Nematoda,Clade V,family 827819,,,
ANCCEY_04604,ancylostoma_ceylanicum,Nematoda,Clade V,family 827819,,,
ANCCEY_01213,ancylostoma_ceylanicum,Nematoda,Clade V,family 840915,,,
ANCCEY_01212,ancylostoma_ceylanicum,Nematoda,Clade V,family 840915,,,
ANCCEY_06854,ancylostoma_ceylanicum,Nematoda,Clade V,family 862323,,,
ANCCEY_13242,ancylostoma_ceylanicum,Nematoda,Clade V,family 873853,,,
ANCCEY_10548,ancylostoma_ceylanicum,Nematoda,Clade V,family 925142,,,
ANCCEY_11807,ancylostoma_ceylanicum,Nematoda,Clade V,family 930879,,,
ANCCEY_13118,ancylostoma_ceylanicum,Nematoda,Clade V,family 937154,,,
ANCCEY_13726,ancylostoma_ceylanicum,Nematoda,Clade V,family 963974,,,
ANCCEY_07025,ancylostoma_ceylanicum,Nematoda,Clade V,family 1154426,,,
ANCCEY_02172,ancylostoma_ceylanicum,Nematoda,Clade V,family 1158996,,,
ANCCEY_02829,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_06290,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_11923,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_08135,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_02507,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_06056,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584621,,,
ANCCEY_03137,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_02733,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_02732,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_03136,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_04369,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_02800,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_02578,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_04563,ancylostoma_ceylanicum,Nematoda,Clade V,family 106598,,,
ANCCEY_02676,ancylostoma_ceylanicum,Nematoda,Clade V,family 465889,,,
ANCCEY_11533,ancylostoma_ceylanicum,Nematoda,Clade V,family 465889,,,
ANCCEY_01605,ancylostoma_ceylanicum,Nematoda,Clade V,family 481564,,,
ANCCEY_11171,ancylostoma_ceylanicum,Nematoda,Clade V,family 481564,,,
ANCCEY_04334,ancylostoma_ceylanicum,Nematoda,Clade V,family 481564,,,
ANCCEY_13029,ancylostoma_ceylanicum,Nematoda,Clade V,family 481564,,,
ANCCEY_07528,ancylostoma_ceylanicum,Nematoda,Clade V,family 874814,,,
ANCCEY_07227,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584818,,,
ANCCEY_09348,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584818,,,
ANCCEY_12961,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584818,,,
ANCCEY_04943,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584818,,,
ANCCEY_09349,ancylostoma_ceylanicum,Nematoda,Clade V,family 1584818,,,
ANCCEY_11505,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_11504,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_04386,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_02471,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_02610,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_00742,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_04282,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_06414,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_00876,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_04284,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_01987,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_05407,ancylostoma_ceylanicum,Nematoda,Clade V,family 62985,,,
ANCCEY_09925,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11412,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_02460,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11818,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_00545,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11411,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_10912,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_14161,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_02461,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_02442,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11413,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11433,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11414,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_11410,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_05130,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_05132,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_14570,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_00400,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_08059,ancylostoma_ceylanicum,Nematoda,Clade V,family 65322,,,
ANCCEY_06752,ancylostoma_ceylanicum,Nematoda,Clade V,family 70839,,,
ANCCEY_06760,ancylostoma_ceylanicum,Nematoda,Clade V,family 70839,,,
ANCCEY_06763,ancylostoma_ceylanicum,Nematoda,Clade V,family 70839,,,
ANCCEY_13210,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_14246,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_03365,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_14247,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_14248,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_13023,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_15094,ancylostoma_ceylanicum,Nematoda,Clade V,family 72594,,,
ANCCEY_04204,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_03762,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_01228,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_06883,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_04203,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_10717,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_10716,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_06882,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_11267,ancylostoma_ceylanicum,Nematoda,Clade V,family 75334,,,
ANCCEY_10329,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_10327,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_10688,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_14225,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_11484,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_10328,ancylostoma_ceylanicum,Nematoda,Clade V,family 77020,,,
ANCCEY_14257,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_00054,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_12344,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_11250,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_00055,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_14258,ancylostoma_ceylanicum,Nematoda,Clade V,family 93047,,,
ANCCEY_10587,ancylostoma_ceylanicum,Nematoda,Clade V,family 96728,,,
ANCCEY_06747,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_01702,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_13683,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_01706,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_04747,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_06753,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_01699,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_06744,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_01709,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_06757,ancylostoma_ceylanicum,Nematoda,Clade V,family 98679,,,
ANCCEY_05171,ancylostoma_ceylanicum,Nematoda,Clade V,family 108364,,,
ANCCEY_12518,ancylostoma_ceylanicum,Nematoda,Clade V,family 108364,,,
ANCCEY_14881,ancylostoma_ceylanicum,Nematoda,Clade V,family 108364,,,
ANCCEY_05173,ancylostoma_ceylanicum,Nematoda,Clade V,family 108364,,,
ANCCEY_04259,ancylostoma_ceylanicum,Nematoda,Clade V,family 111344,,,
ANCCEY_09863,ancylostoma_ceylanicum,Nematoda,Clade V,family 111344,,,
ANCCEY_04258,ancylostoma_ceylanicum,Nematoda,Clade V,family 111344,,,
ANCCEY_09862,ancylostoma_ceylanicum,Nematoda,Clade V,family 111344,,,
ANCCEY_15640,ancylostoma_ceylanicum,Nematoda,Clade V,family 115685,,,
ANCCEY_03731,ancylostoma_ceylanicum,Nematoda,Clade V,family 115685,,,
ANCCEY_05613,ancylostoma_ceylanicum,Nematoda,Clade V,family 115685,,,
ANCCEY_12982,ancylostoma_ceylanicum,Nematoda,Clade V,family 116159,,,
ANCCEY_13384,ancylostoma_ceylanicum,Nematoda,Clade V,family 116159,,,
ANCCEY_08536,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_14152,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_08533,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_10462,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_13027,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_10461,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_14632,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_12690,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_08535,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_08534,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_15295,ancylostoma_ceylanicum,Nematoda,Clade V,family 126359,,,
ANCCEY_14557,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_14646,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_13388,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_08373,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_06899,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_14049,ancylostoma_ceylanicum,Nematoda,Clade V,family 133207,,,
ANCCEY_12456,ancylostoma_ceylanicum,Nematoda,Clade V,family 133418,,,
ANCCEY_04846,ancylostoma_ceylanicum,Nematoda,Clade V,family 133418,,,
ANCCEY_03605,ancylostoma_ceylanicum,Nematoda,Clade V,family 133418,,,
ANCCEY_07914,ancylostoma_ceylanicum,Nematoda,Clade V,family 148187,,,
ANCCEY_13226,ancylostoma_ceylanicum,Nematoda,Clade V,family 148187,,,
ANCCEY_09928,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_10879,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_12869,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_10878,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_11259,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_09929,ancylostoma_ceylanicum,Nematoda,Clade V,family 148381,,,
ANCCEY_09936,ancylostoma_ceylanicum,Nematoda,Clade V,family 158756,,,
ANCCEY_08215,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_00045,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_00309,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_04964,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_04963,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_05888,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_05637,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_09449,ancylostoma_ceylanicum,Nematoda,Clade V,family 170689,,,
ANCCEY_03915,ancylostoma_ceylanicum,Nematoda,Clade V,family 171381,,,
ANCCEY_12804,ancylostoma_ceylanicum,Nematoda,Clade V,family 171381,,,
ANCCEY_13911,ancylostoma_ceylanicum,Nematoda,Clade V,family 171381,,,
ANCCEY_06894,ancylostoma_ceylanicum,Nematoda,Clade V,family 171381,,,
ANCCEY_12582,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_09965,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_10291,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_01387,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_09142,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_01384,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
ANCCEY_01386,ancylostoma_ceylanicum,Nematoda,Clade V,family 178702,,,
